book,chapter,verse,orderby,masoretic,retroverted,lxx
Jer,1,17,246,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] =;יהוה <1.8>,,κυριος
Jer,1,18,247,ואני,,"•^[Hebrew counterpart lacking in the LXX (minus in the LXX).] •^[Questionable notation, equivalent, etc.]"
Jer,1,18,248,הנה,,ιδου
Jer,1,18,249,"{... •^[Questionable notation, equivalent, etc.] אני} נתתיך",,τεθεικα σε
Jer,1,18,250,היום •^[Addition of preposition or particle.],,εν τη σημερον ημερα
Jer,1,18,251,לעיר •^[Difference in preposition or particle.],,ως πολιν
Jer,1,18,252,מבצר,,οχυραν
Jer,1,18,253,ולעמוד,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).]
Jer,1,18,254,ברזל,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).]
Jer,1,18,255,ולחמות •^[Difference in preposition or particle.],,και ως τειχος
Jer,1,18,256,נחשת,,χαλκουν
Jer,1,18,257,•^[Element 'added' in the Greek (plus in the LXX).],,οχυρον
Jer,1,18,258,על כל,,απασιν
Jer,1,18,259,הארץ,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).]
Jer,1,18,260,למלכי,,τοις βασιλευσιν
Jer,1,18,261,יהודה,,ιουδα
Jer,1,18,262,לשריה,,και τοις αρχουσιν αυτου
Jer,1,18,263,לכהניה,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).]
Jer,1,18,264,ולעם,,και τω λαω
Jer,1,18,265,הארץ,,της γης
Jer,1,19,266,ונלחמו,,και πολεμησουσιν
Jer,1,19,267,אליך,,σε
Jer,1,19,268,ולא,,και ου μη
Jer,1,19,269,יוכלו,,δυνωνται
Jer,1,19,270,לך,,προς σε
Jer,1,19,271,כי,,διοτι
Jer,1,19,272,אתך,,μετα σου
Jer,1,19,273,אני,,εγω ειμι
Jer,1,19,274,•^[Equivalent of the Hebrew or Greek word(s) occurring elsewhere in the verse or context (transposition).],להצילך,του εξαιρεισθαι σε
Jer,1,19,275,נאם,,ειπεν
Jer,1,19,276,יהוה,,κυριος
Jer,1,19,277,להצילך,,•^[Equivalent of the Hebrew or Greek word(s) occurring elsewhere in the verse or context (transposition).]
Jer,2,1,278,ויהי,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).] •^[Long minus or plus (at least four lines).]
Jer,2,1,279,דבר,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).] •^[Long minus or plus (at least four lines).]
Jer,2,1,280,יהוה,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).] •^[Long minus or plus (at least four lines).]
Jer,2,1,281,אלי,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).] •^[Long minus or plus (at least four lines).]
Jer,2,1,282,לאמר,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).] •^[Long minus or plus (at least four lines).]
Jer,2,2,283,הלך,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).] •^[Long minus or plus (at least four lines).]
Jer,2,2,284,וקראת,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).] •^[Long minus or plus (at least four lines).]
Jer,2,2,285,באזני,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).] •^[Long minus or plus (at least four lines).]
Jer,2,2,286,ירושלם,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).] •^[Long minus or plus (at least four lines).]
Jer,2,2,287,לאמר,,και ειπεν
Jer,2,2,288,כה,,ταδε
Jer,2,2,289,אמר,,λεγει
Jer,2,2,290,יהוה,,κυριος
Jer,2,2,291,זכרתי,,εμνησθην
Jer,2,2,292,לך,,"•^[Hebrew counterpart lacking in the LXX (minus in the LXX).] •^[Questionable notation, equivalent, etc.]"
Jer,2,2,293,חסד,,ελεους
Jer,2,2,294,נעוריך,,νεοτητος σου
Jer,2,2,295,אהבת,,και αγαπης
Jer,2,2,296,"כלולתיך •^[Etymological exegesis.] •^[Questionable notation, equivalent, etc.]",,τελειωσεως σου
Jer,2,2,297,לכתך אחרי •^[Difference in vocalization (reading).],,του εξακολουθησαι σε
Jer,2,2,298,במדבר,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).] •^[Long minus or plus (at least four lines).]
Jer,2,2,299,בארץ,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).] •^[Long minus or plus (at least four lines).]
Jer,2,2,300,לא,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).] •^[Long minus or plus (at least four lines).]
Jer,2,2,301,זרועה,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).] •^[Long minus or plus (at least four lines).]
Jer,2,2,302,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] =;קדש <2.3>,,τω αγιω
Jer,2,2,303,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] =;ישראל <2.3>,,ισραηλ
Jer,2,2,304,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] =;נאם,,λεγει
Jer,2,2,305,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] =;יהוה,,κυριος
Jer,2,3,306,קדש •^[Difference in vocalization (reading).],,αγιος
Jer,2,3,307,ישראל,,ισραηλ
Jer,2,3,308,ליהוה,,τω κυριω
Jer,2,3,309,ראשית,,αρχη
Jer,2,3,310,*תבואתה **תבואתו,,γενηματων αυτου
Jer,2,3,311,כל,,παντες
Jer,2,3,312,אכליו,,οι εσθοντες αυτον
Jer,2,3,313,יאשמו,,πλημμελησουσιν
Jer,2,3,314,רעה,,κακα
Jer,2,3,315,תבא •^[Difference in vocalization (reading).],,ηξει
Jer,2,3,316,אליהם,,επ' αυτους
Jer,2,3,317,נאם,,φησιν
Jer,2,3,318,יהוה,,κυριος
Jer,2,4,319,שמעו,,ακουσατε
Jer,2,4,320,דבר,,λογον
Jer,2,4,321,יהוה,,κυριου
Jer,2,4,322,בית,,οικος
Jer,2,4,323,יעקב,,ιακωβ
Jer,2,4,324,וכל,,και πασα
Jer,2,4,325,משפחות,,πατρια
Jer,2,4,326,בית,,οικου
Jer,2,4,327,ישראל,,ισραηλ
Jer,2,5,328,כה,,ταδε
Jer,2,5,329,אמר,,λεγει
Jer,2,5,330,יהוה,,κυριος
Jer,2,5,331,מה,,τι
Jer,2,5,332,מצאו,,ευροσαν
Jer,2,5,333,אבותיכם,,οι πατερες υμων
Jer,2,5,334,בי,,εν εμοι
Jer,2,5,335,עול,,πλημμελημα
Jer,2,5,336,כי,,οτι
Jer,2,5,337,רחקו,,απεστησαν μακραν
Jer,2,5,338,מעלי,,απ' εμου
Jer,2,5,339,וילכו,,και επορευθησαν
Jer,2,5,340,אחרי,,οπισω
Jer,2,5,341,ההבל,,των ματαιων
Jer,2,5,342,ויהבלו,,και εματαιωθησαν
Jer,2,6,343,ולא,,και ουκ
Jer,2,6,344,אמרו,,ειπαν
Jer,2,6,345,איה,,που εστιν
Jer,2,6,346,יהוה,,κυριος
Jer,2,6,347,המעלה,,ο αναγαγων
Jer,2,6,348,אתנו,,ημας
Jer,2,6,349,מארץ,,εκ γης
Jer,2,6,350,מצרים,,αιγυπτου
Jer,2,6,351,המוליך,,ο καθοδηγησας
Jer,2,6,352,אתנו,,ημας
Jer,2,6,353,במדבר,,εν τη ερημω
Jer,2,6,354,בארץ,,εν γη
Jer,2,6,355,ערבה,,απειρω
Jer,2,6,356,ושוחה,,και αβατω
Jer,2,6,357,בארץ,,εν γη
Jer,2,6,358,ציה,,ανυδρω
Jer,2,6,359,וצלמות,,και ακαρπω
Jer,2,6,360,בארץ,,εν γη
Jer,2,6,361,•^[Element 'added' in the Greek (plus in the LXX).],,εν η
Jer,2,6,362,לא,,ου
Jer,2,6,363,עבר,,διωδευσεν
Jer,2,6,364,בה,,εν αυτη
Jer,2,6,365,איש,,ουθεν
Jer,2,6,366,ולא,,και ου
Jer,2,6,367,ישב,,κατωκησεν
Jer,2,6,368,•^[Equivalent of the Hebrew or Greek word(s) occurring elsewhere in the verse or context (transposition).],שם,εκει
Jer,2,6,369,•^[Element 'added' in the Greek (plus in the LXX).],בן,υιος
Jer,2,6,370,אדם,,ανθρωπου
Jer,2,6,371,שם,,•^[Equivalent of the Hebrew or Greek word(s) occurring elsewhere in the verse or context (transposition).]
Jer,2,7,372,ואביא,,και εισηγαγον
Jer,2,7,373,אתכם,,υμας
Jer,2,7,374,אל,,εις
Jer,2,7,375,ארץ,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).]
Jer,2,7,376,הכרמל,,τον καρμηλον
Jer,2,7,377,לאכל,,του φαγειν υμας
Jer,2,7,378,פריה,,τους καρπους αυτου
Jer,2,7,379,וטובה,,και τα αγαθα αυτου
Jer,2,7,380,ותבאו,,και εισηλθατε
Jer,2,7,381,ותטמאו,,και εμιανατε
Jer,2,7,382,את ארצי,,την γην μου
Jer,2,7,383,ונחלתי,,και την κληρονομιαν μου
Jer,2,7,384,שמתם,,εθεσθε
Jer,2,7,385,לתועבה,,εις βδελυγμα
Jer,2,8,386,הכהנים,,οι ιερεις
Jer,2,8,387,לא,,ουκ
Jer,2,8,388,אמרו,,ειπαν
Jer,2,8,389,איה,,που εστιν
Jer,2,8,390,יהוה,,κυριος
Jer,2,8,391,ותפשי,,και οι αντεχομενοι
Jer,2,8,392,התורה,,του νομου
Jer,2,8,393,לא,,ουκ
Jer,2,8,394,ידעוני,,ηπισταντο με
Jer,2,8,395,והרעים,,και οι ποιμενες
Jer,2,8,396,פשעו,,ησεβουν
Jer,2,8,397,בי,,εις εμε
Jer,2,8,398,והנביאים,,και οι προφηται
Jer,2,8,399,נבאו,,επροφητευον
Jer,2,8,400,בבעל,,τη βααλ
Jer,2,8,401,ואחרי,,και οπισω
Jer,2,8,402,לא יועלו,,ανωφελους
Jer,2,8,403,הלכו,,επορευθησαν
Jer,2,9,404,לכן,,δια τουτο
Jer,2,9,405,עד,,ετι
Jer,2,9,406,אריב,,κριθησομαι
Jer,2,9,407,אתכם,,προς υμας
Jer,2,9,408,נאם,,λεγει
Jer,2,9,409,יהוה,,κυριος
Jer,2,9,410,ואת,,και προς
Jer,2,9,411,בני,,τους υιους
Jer,2,9,412,בניכם,,των υιων υμων
Jer,2,9,413,אריב,,κριθησομαι
Jer,2,10,414,כי,,διοτι
Jer,2,10,415,עברו,,διελθετε
Jer,2,10,416,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,εις
Jer,2,10,417,איי,,•^[Preposition added in the LXX in accordance with the rules of the Greek language or translational habits.] εις νησους
Jer,2,10,418,כתיים,,χεττιιμ
Jer,2,10,419,וראו,,και ιδετε
Jer,2,10,420,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,και
Jer,2,10,421,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,εις
Jer,2,10,422,וקדר,,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.] και •^[Preposition added in the LXX in accordance with the rules of the Greek language or translational habits.] εις κηδαρ"
Jer,2,10,423,שלחו,,αποστειλατε
Jer,2,10,424,והתבוננו,,και νοησατε
Jer,2,10,425,מאד,,σφοδρα
Jer,2,10,426,וראו,,και ιδετε
Jer,2,10,427,הן,,ει
Jer,2,10,428,היתה,,γεγονεν
Jer,2,10,429,כזאת,,τοιαυτα
Jer,2,11,430,ההימיר,,ει αλλαξονται
Jer,2,11,431,גוי,,εθνη
Jer,2,11,432,אלהים,,θεους αυτων
Jer,2,11,433,והמה,,και ουτοι
Jer,2,11,434,לא,,ουκ εισιν
Jer,2,11,435,אלהים,,θεοι
Jer,2,11,436,ועמי,,ο δε λαος μου
Jer,2,11,437,המיר,,ηλλαξατο
Jer,2,11,438,כבודו,,την δοξαν αυτου
Jer,2,11,439,בלוא,,εξ ης ουκ
Jer,2,11,440,יועיל,,ωφεληθησονται
Jer,2,12,441,שמו,,εξεστη
Jer,2,12,442,שמים,,ο ουρανος
Jer,2,12,443,על,,επι
Jer,2,12,444,זאת,,τουτω
Jer,2,12,445,ושערו,,και εφριξεν
Jer,2,12,446,חרבו,הרבה .xh .wh,επι πλειον
Jer,2,12,447,מאד,,σφοδρα
Jer,2,12,448,נאם,,λεγει
Jer,2,12,449,יהוה,,κυριος
Jer,2,13,450,כי,,οτι
Jer,2,13,451,שתים,,δυο
Jer,2,13,452,רעות,,πονηρα
Jer,2,13,453,עשה,,εποιησεν
Jer,2,13,454,עמי,,ο λαος μου
Jer,2,13,455,אתי,,εμε
Jer,2,13,456,עזבו,,εγκατελιπον
Jer,2,13,457,מקור,,πηγην
Jer,2,13,458,מים,,υδατος
Jer,2,13,459,חיים,,ζωης
Jer,2,13,460,לחצב,,και ωρυξαν
Jer,2,13,461,להם,,εαυτοις
Jer,2,13,462,בארות בארת,,"λακκους •^[Hebrew counterpart lacking in the LXX (minus in the LXX).] •^[Questionable notation, equivalent, etc.]"
Jer,2,13,463,נשברים,,συντετριμμενους
Jer,2,13,464,אשר,,οι
Jer,2,13,465,לא,,ου
Jer,2,13,466,יכלו,{d}@יכל,"δυνησονται •^[Reference to doublet (occurring between the two elements of the doublet.] •^[Equivalent reflected elsewhere in the text, disregarded by indexing program.] συνεχειν"
Jer,2,13,467,המים,,υδωρ
Jer,2,13,468,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,συνεχειν
Jer,2,14,469,העבד,,μη δουλος εστιν
Jer,2,14,470,ישראל,,ισραηλ
Jer,2,14,471,אם,,η
Jer,2,14,472,יליד בית,,οικογενης
Jer,2,14,473,הוא,,εστιν
Jer,2,14,474,מדוע,,δια τι
Jer,2,14,475,היה,,{..εγενετο}
Jer,2,14,476,לבז,,εις προνομην
Jer,2,14,477,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,εγενετο
Jer,2,15,478,עליו,,επ' αυτον
Jer,2,15,479,ישאגו,,ωρυοντο
Jer,2,15,480,כפרים,,λεοντες
Jer,2,15,481,נתנו,,και εδωκαν
Jer,2,15,482,קולם,,την φωνην αυτων
Jer,2,15,483,וישיתו,,οι εταξαν
Jer,2,15,484,ארצו,,την γην αυτου
Jer,2,15,485,לשמה,,εις ερημον
Jer,2,15,486,עריו,,και αι πολεις αυτου
Jer,2,15,487,*נצתה **נצתו,"•^[Questionable notation, equivalent, etc.] נתצו •^[Interchange of consonants between MT and the presumed Hebrew parent text of the LXX (metathesis.)]",κατεσκαφησαν
Jer,2,15,488,מבלי,,παρα το μη
Jer,2,15,489,ישב,,κατοικεισθαι
Jer,2,16,490,גם,,και
Jer,2,16,491,בני,,υιοι
Jer,2,16,492,נף,,μεμφεως
Jer,2,16,493,*ותחפנס **ותחפנחס,,και ταφνας
Jer,2,16,494,ירעוך,"ידעוך •^[Interchange of consonants between MT and the presumed Hebrew parent text of the LXX (interchange of R/D, etc.)]",εγνωσαν σε
Jer,2,16,495,קדקד •^[Etymological exegesis.] קרקר .dr,,και κατεπαιζον
Jer,2,16,496,•^[Element 'added' in the Greek (plus in the LXX).],,σου
Jer,2,17,497,הלוא,,ουχι
Jer,2,17,498,זאת,,ταυτα
Jer,2,17,499,תעשה,,εποιησεν
